ST,state_county5,fips,lon,lat,den,r0.est,r0.est.cor,r0.l66.cor,r0.u66.cor,r0.pred,r0.pred.se,R0.pred,R0.pred.l66,R0.pred.u66
IN,"IN_Lake County,",18089,-87.408155,41.526226,299.25885,0.045618593,0.143163093,0.108642968,0.177058286,0.145930228,0.027870359,2.669096512,2.249401964,3.145007949
IN,IN_LaPorte Coun,18091,-86.790977,41.631837,69.20348243,0.115398229,0.13519295,0.107167934,0.162103297,0.131213366,0.026207317,2.440733898,2.070993642,2.858261592
IN,IN_Lawrence Cou,18093,-86.495718,38.846386,38.74683068,0.115398229,0.13519295,0.107167934,0.162103297,0.104283672,0.026524669,2.061446051,1.733563592,2.434664967
IN,IN_Madison Coun,18095,-85.708901,40.11412,110.4491413,0.115398229,0.13519295,0.107167934,0.162103297,0.125665633,0.026084627,2.358593196,2.000110091,2.763698186
IN,IN_Marion Count,18097,-86.135905,39.791299,923.8841025,0.077570304,0.143400828,0.108464463,0.17410921,0.15424644,0.026478188,2.805032849,2.389475007,3.27243588
IN,IN_Marshall Cou,18099,-86.273082,41.347248,39.69396737,0.115398229,0.13519295,0.107167934,0.162103297,0.127461308,0.026845606,2.384947874,2.013484168,2.806039952
IN,IN_Martin Count,18101,-86.848113,38.678357,11.62670605,0.115398229,0.13519295,0.107167934,0.162103297,0.095745362,0.02710357,1.951123892,1.630688773,2.317697865
IN,IN_Miami County,18103,-86.073933,40.730651,36.33683358,0.115398229,0.13519295,0.107167934,0.162103297,0.122406454,0.026693311,2.311322724,1.950716353,2.720309324
IN,IN_Monroe Count,18105,-86.537697,39.162879,139.323887,0.115398229,0.13519295,0.107167934,0.162103297,0.118517299,0.026279819,2.255858494,1.907132885,2.650964655
IN,IN_Montgomery C,18107,-86.90006,40.03511,29.28901196,0.115398229,0.13519295,0.107167934,0.162103297,0.113530639,0.026508608,2.186227179,1.843138955,2.575838087
IN,IN_Morgan Count,18109,-86.399318,39.512251,66.47599032,0.115398229,0.13519295,0.107167934,0.162103297,0.115981544,0.025603396,2.220243229,1.884126283,2.600066608
